date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:22:03	8259/8259	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Sep%202019%2009:35:34%20GMT	https://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Testimonials/corporate-testimonials-3.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Testimonials/corporate-testimonials-3.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:22:04	389/389	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2015%20Oct%202019%2005:22:03%20GMT	http://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Store/corporate-shop-1.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Store/corporate-shop-1.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:22:04	6128/6128	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Sep%202019%2009:35:32%20GMT	https://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Store/corporate-shop-1.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Store/corporate-shop-1.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:22:04	389/389	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2015%20Oct%202019%2005:22:04%20GMT	http://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Store/corporate-shop-2.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Store/corporate-shop-2.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:22:04	6992/6992	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Sep%202019%2009:35:32%20GMT	https://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Store/corporate-shop-2.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Store/corporate-shop-2.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:22:05	389/389	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2015%20Oct%202019%2005:22:05%20GMT	http://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Store/corporate-shop-3.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Store/corporate-shop-3.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:22:05	4343/4343	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Sep%202019%2009:35:32%20GMT	https://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Store/corporate-shop-3.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Store/corporate-shop-3.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:22:06	389/389	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2015%20Oct%202019%2005:22:06%20GMT	http://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Store/corporate-shop-4.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Store/corporate-shop-4.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:22:06	7615/7615	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Sep%202019%2009:35:32%20GMT	https://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Store/corporate-shop-4.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Store/corporate-shop-4.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:22:07	395/395	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2015%20Oct%202019%2005:22:06%20GMT	http://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Support/corporate-support-bg.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Support/corporate-support-bg.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:22:08	388/388	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2015%20Oct%202019%2005:22:07%20GMT	http://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Team/corporate-team-1.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Team/corporate-team-1.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:22:08	183469/183469	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Sep%202019%2009:35:32%20GMT	https://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Support/corporate-support-bg.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Support/corporate-support-bg.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
